"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31"
"a",-0.164444443675551,-0.222764214304184,-0.174559044825046,-0.0509668724615916,0.0956251846106582,-0.0359185175790497,0.296528380162796,-0.275184414057467,0.070208393174248,-0.157461143818392,0.147194994859771,0.0993069411355938,-0.0747831077474572,-0.0802448199254843,-0.160299033784623,0.0184358595160699,0.0132758220864425,0.187046816991266,0.105922973962136,0.241030251587313,-0.143283290636396,-0.180231337983344,-0.240398324029444,-0.261622966560743,-0.331400622415612,-0.0772662636058523,0.144400532510179,0.417998352842118,0.115448978456669,-0.0664087015237028,-0.0633905880348775
"b",-0.185345389336612,-0.0587728105762508,-0.234362298613103,-0.278571880998565,-0.303045105555695,-0.207166218839667,-0.0289738439737543,0.118373013597577,-0.520797730729804,0.0642890689457211,0.0845701297855234,-0.132415949307392,0.133923608136637,0.134665058437697,0.209156492042739,0.453400745647566,0.163567239180344,-0.0982162319719121,-0.0259319317038279,0.15756954885835,-0.109874800452332,0.0296936106036671,-0.0865918754416388,-0.0148016577156657,0.0185125026584873,-0.0867854500351807,-0.0583565794889326,0.0203635510907289,0.0155492397740414,-0.00295365629162526,-0.0101428965265741
"c",-0.147725285181467,-0.225984334115816,0.0933682092171598,0.0534562769088442,0.0695740738616132,-0.0885898974181148,-0.101905646321139,-0.0113010295457354,0.0250277451591934,-0.0287903271413011,0.0066683417716012,0.124747228985416,-0.265539285718907,-0.179366406916741,0.110908809201717,0.0995390912453695,0.165782760360192,-0.130767726831045,-0.0558884185786468,0.0157909382612851,-0.0802189142127423,0.139743119626308,0.225755480754239,0.217794229242428,-0.212264730361397,0.145564519058919,0.0502626843583003,-0.173062382469312,0.584675324222468,-0.331554397885868,0.166018713161113
"d",-0.177944496437706,-0.197397126159504,-0.158032457780334,0.160639769200001,-0.00916374174811838,0.177222487561056,-0.170738344668185,-0.0823518885051243,-0.247673806306642,-0.0965789442060742,-0.237854418209467,0.0820886295578631,-0.159107336044895,0.0741809928707939,-0.08545833687468,-0.0912472646566706,-0.321154223514094,0.368456141069451,0.134171682610247,0.373374776797306,-0.00300876164053832,0.187251955713463,0.134378182326389,0.0348894522501073,0.394585127632738,-0.0889659488066287,-0.0823366162908769,-0.040180695765183,0.0530942546103935,-0.0689944513903118,-0.0221824215533924
"e",-0.147683463629065,-0.178856148984538,0.169779764520955,0.169939577822369,-0.0534851611492704,0.0275866634720412,0.145757490400021,0.0707216759644997,-0.150798285049429,-0.148095389564998,-0.177044905948159,0.0360034415994673,-0.013467148864091,-0.0784653858300589,-0.204786976043671,0.166717529906469,0.0695505724194125,0.000512336057519644,0.143683089040357,-0.186153068267781,0.189908120809855,-0.374262667923303,0.104637892921316,-0.152003900998822,-0.140486252452225,-0.433465631867335,0.0131427620705976,-0.450241761427946,-0.0701732677629345,-0.0412957955032635,-0.133291863313461
"f",-0.137875460165704,-0.207994021515294,0.220284991795211,0.0289746266860294,6.86182424730619e-06,-0.10162529133198,0.0823670625618857,0.251515571518635,0.00371329924770847,0.0115933176494575,0.0370304427294569,-0.00692254508791984,0.0226215018392395,-0.0903653989073264,-0.0253278220028549,-0.0353232446255056,-0.0366095109630771,-0.0341775871122787,0.206858920702253,0.107102532877078,0.0728934896842318,-0.168357817581578,-0.0821528819965755,0.113947627179487,0.105934456205668,-0.0167928831185517,-0.0571411292510458,0.157786306811593,-0.115644150225573,0.185185191111265,0.773539734676059
"g",-0.227068511568134,0.261600891693965,-0.281372094027962,0.0407267231389921,0.116986449239027,0.0364329643103125,0.055965036119881,-0.232841189194056,-0.0587969929274803,0.0362075888872841,0.00124696121104523,0.0270141393203911,-0.0390914797510253,0.130317052799054,-0.0537201516093995,0.0364634598023643,-0.0779416379469859,0.120188625114,-0.282380445919145,-0.0741778838001279,-0.139824197713017,0.111916539976111,0.27145598468248,-0.00478149913957202,-0.324434379675001,-0.0350802652060434,0.0987040084490845,-0.198575211139778,-0.379621366903163,-0.117442520781612,0.416501512751346
"h",-0.144856548655092,-0.212310885032214,0.192525221928284,-0.0382400764585532,0.0885910022734809,-0.0586863049963953,0.00840953689090726,0.233690484609635,0.0263981632018538,0.104343242195976,0.148915170432408,0.0191885355936453,-0.0296787374846968,-0.023868236596233,0.0788950483746793,-0.0193216134400382,-0.0885745785598668,-0.0061990481700319,0.0122469104023977,0.106890045315665,-0.0548811964777527,-0.152519606241522,0.175965142349984,0.262573998063915,-0.0573436217481448,0.129971039658064,-0.101269254106783,0.177883960968229,-0.49955352908184,-0.496292659710352,-0.289274941282612
"i",-0.146754551232365,-0.193696533431746,0.142134510799821,0.0725410474558748,-0.0550277196838563,-0.247338288644437,0.222025932571393,-0.0148360093699634,0.104944848452821,-0.0242951543493191,-0.177619716667942,0.11289920376556,-0.0164675044711152,-0.1826221286913,0.128167565697048,-0.0667531228039088,0.17955459234337,-0.154394409502163,-0.133804473929,-0.0157447376165543,0.00617002006608427,0.553149378437081,-0.116631395801364,-0.296620457208211,0.235571262243383,-0.120885796267726,0.257137775118683,-0.0198985969141416,-0.258573136543175,-0.0735587240589304,-0.0251991521141059
"j",-0.152212990065248,-0.238589342127713,0.0738371904229061,-0.0551211759960304,0.0646988135892955,0.00729682843488793,0.00431148640871765,0.0215584076890603,0.0165591979563233,0.0270195779656327,0.185365855961463,0.11622148947919,-0.142890891799029,-0.0843193004345626,-0.145093398851696,0.0909196526326801,-0.0446126347036977,-0.138209590102797,-0.204093497181947,0.2002080856671,-0.0369072127805162,0.0734739367083959,0.32428720195634,0.0869438377510519,-0.114366714732312,0.120601312495611,0.00393268635387367,-0.058168096439334,-0.1009784435948,0.698231567380965,-0.223419599668304
