Seq,Tss,Col1,Col2,Col3,Col4
1,1,8.731456,4.383879,1.440331,0.751366
2,1,4.621214,9.956993,1.158698,0.438972
3,1,7.639196,5.613739,1.166506,0.627297
4,1,5.202774,8.922821,1.358638,0.557530
5,1,7.947663,6.415429,1.358385,0.579142
6,1,6.677052,8.348075,0.976684,0.450086
7,1,6.283730,7.324736,1.343513,0.518495
8,1,7.147220,4.856686,0.962158,0.619889
9,1,5.722004,6.166066,0.788471,0.509388
10,1,9.397383,3.231611,1.236965,0.788655
11,1,6.909872,7.640352,1.315236,0.537709
12,1,3.902662,11.201048,1.300246,0.386468
13,1,6.881405,5.594874,1.155640,0.640216
14,1,8.091773,3.854603,1.529807,0.865009
15,1,7.079357,7.003121,1.044633,0.505191
16,1,7.423047,5.561398,1.100365,0.562334
17,1,7.366262,5.763150,1.144971,0.547340
18,1,5.296364,8.877739,1.016846,0.377087
19,1,5.663665,9.882139,1.213076,0.390143
20,1,7.536781,6.780017,1.142514,0.552120
21,1,6.669231,8.022312,0.833452,0.341171
22,1,8.749185,3.138371,1.215183,0.812882
23,1,6.122377,7.385706,1.109670,0.439414
24,1,3.949611,12.357558,1.175318,0.266836
25,1,4.719567,8.302932,1.044550,0.457691
26,1,2.794773,12.651169,1.046911,0.164602
27,1,7.648965,5.853542,1.318068,0.638311
28,1,6.425718,7.095555,1.238261,0.590983
29,1,6.846537,5.738149,1.126304,0.629480
30,1,5.177196,7.044238,1.274969,0.581262
31,1,5.322817,7.297960,1.329850,0.644932
32,1,7.448685,6.417505,1.719318,0.772264
33,1,6.096130,7.343830,1.487198,0.593567
34,1,5.893836,7.365921,1.136245,0.525786
35,1,5.847447,7.711648,1.283163,0.547582
36,1,6.752080,7.816006,1.020103,0.445937
37,1,8.378216,5.244030,1.139446,0.631453
38,1,8.062575,6.017921,1.014791,0.584844
39,1,5.835086,7.939654,1.089105,0.474036
40,1,5.183531,8.885825,1.410817,0.536614
41,1,8.887016,6.313497,1.224688,0.594494
42,1,7.710889,6.684340,1.393911,0.657440
43,1,5.428349,7.703064,1.397379,0.633456
44,1,7.343078,7.029298,1.423349,0.593416
45,1,5.071499,9.519879,1.262478,0.406755
46,1,6.561974,5.310151,1.356518,0.689880
47,1,7.032356,7.960637,1.340929,0.517744
48,1,4.367833,10.631054,1.371241,0.458733
49,1,7.391596,6.342952,0.905931,0.524797
50,1,6.243514,8.952144,1.063264,0.420579
51,1,7.802744,4.413037,1.309550,0.738575
52,1,7.530700,5.518944,1.085530,0.564575
53,1,6.380583,9.318197,1.397171,0.517987
54,1,3.793394,11.956260,1.027756,0.329865
55,1,5.573128,9.015411,0.899936,0.398156
56,1,6.063805,9.525928,1.014996,0.375693
57,1,7.596803,7.583615,0.974759,0.445247
58,1,7.643061,6.171919,1.386153,0.684107
59,1,7.195183,6.868697,1.175457,0.616639
60,1,7.426797,5.253075,1.403806,0.717254
61,1,7.912076,6.667234,1.430849,0.579702
62,1,7.221270,5.095427,1.384576,0.688984
63,1,6.509417,8.440961,1.269247,0.497895
64,1,7.874151,4.842442,1.470605,0.738211
65,1,7.925412,4.607554,1.346915,0.743860
66,1,6.572227,7.575910,1.206863,0.529551
67,1,5.791129,8.182277,1.261901,0.553567
68,1,6.608761,6.839897,1.449472,0.691032
69,1,6.324318,6.847862,1.092485,0.523871
70,1,4.928592,7.040538,1.282892,0.659138
71,1,5.653098,9.659599,1.147408,0.451210
72,1,4.215066,10.677853,1.271705,0.377890
73,1,4.637291,8.983428,1.415537,0.559949
