Seq,Tss,Col1,Col2,Col3,Col4
1,1,6.965872,4.655333,1.336396,0.733174
2,1,5.923249,5.793682,1.166429,0.694277
3,1,6.910601,5.939461,1.321174,0.620358
4,1,7.057159,5.683078,1.230310,0.668763
5,1,8.971786,2.800003,1.677202,0.941789
6,1,8.723109,3.881919,1.288480,0.845822
7,1,4.245566,10.630460,0.800944,0.225744
8,1,4.871467,7.509862,1.070685,0.512566
9,1,7.763931,4.984472,0.959027,0.608006
10,1,5.332239,7.488542,0.780382,0.408877
11,1,9.479520,1.853122,1.709327,0.970222
12,1,8.352081,3.870590,1.599787,0.902341
13,1,9.005888,3.931935,1.385820,0.842091
14,1,6.694578,4.023309,1.202393,0.772460
15,1,7.179780,6.700003,0.930488,0.532481
16,1,8.009090,3.653487,1.208735,0.690680
17,1,7.696025,4.336000,1.162268,0.703445
18,1,7.747463,5.032788,1.715445,0.875092
19,1,9.356197,2.607407,1.627279,0.933576
20,1,8.990537,4.714559,1.201804,0.646577
21,1,9.402292,3.562965,1.043386,0.703914
22,1,7.334411,5.273362,1.259272,0.699125
23,1,5.176624,8.294883,0.863720,0.381239
24,1,8.275288,4.830738,1.239667,0.729333
25,1,5.521430,7.403142,1.603107,0.662695
26,1,8.017057,3.629395,1.514610,0.867265
27,1,6.243665,6.007790,1.194741,0.635879
28,1,5.739847,7.740620,1.400937,0.617753
29,1,7.752636,5.091631,1.405619,0.732304
30,1,7.012494,5.714036,1.380364,0.680343
31,1,7.459422,5.075553,1.306545,0.787003
32,1,6.758780,8.952667,1.212928,0.483698
33,1,8.483236,3.361319,1.539735,0.847903
34,1,8.204384,4.233999,1.529078,0.815838
35,1,7.775662,4.857609,1.488705,0.809634
36,1,8.808141,3.306521,1.222489,0.814464
37,1,8.328049,4.324718,1.142271,0.755059
38,1,7.461763,6.889369,1.551985,0.707634
39,1,6.067441,8.130963,1.151510,0.494990
40,1,8.956174,4.338997,1.313192,0.724775
41,1,5.536689,7.231926,1.106805,0.585012
42,1,9.105135,5.490484,1.134222,0.655465
43,1,6.236921,8.981881,0.715787,0.335873
44,1,9.269523,4.081395,0.884582,0.674716
45,1,7.629903,5.011948,1.651131,0.813907
46,1,6.869531,5.487435,1.627966,0.773477
47,1,9.139518,3.464975,1.365483,0.751869
48,1,6.808571,5.426629,1.517670,0.855490
49,1,7.529727,4.950874,1.270325,0.720221
50,1,7.308684,6.164575,1.338566,0.646545
51,1,9.098239,2.884773,1.548280,0.891736
52,1,6.908042,5.260492,1.220092,0.673470
53,1,8.154844,4.834801,1.404204,0.734107
54,1,9.028586,3.393899,1.604496,0.868504
