Seq,Tss,Col1,Col2,Col3,Col4
1,1,3.501510,9.793037,0.882892,0.337580
2,1,5.622077,8.779702,1.286839,0.516544
3,1,4.783736,8.086037,1.216711,0.510743
4,1,8.128438,6.291616,1.343296,0.629789
5,1,9.807480,2.514278,1.709416,0.935770
6,1,8.788156,3.150094,1.465006,0.924957
7,1,4.494944,9.500245,0.514565,0.209702
8,1,4.836246,7.030149,0.902225,0.510678
9,1,9.584085,2.301848,1.550864,0.881989
10,1,5.588205,6.588116,0.843621,0.491280
11,1,7.126756,5.256357,1.521400,0.747663
12,1,6.439888,6.657270,1.465637,0.706999
13,1,7.076112,5.109330,1.258289,0.765204
14,1,6.504590,5.574044,1.205372,0.666295
15,1,6.442050,7.605223,0.950331,0.446962
16,1,7.244302,4.285816,1.141331,0.653562
17,1,6.336849,5.025601,1.183307,0.668470
18,1,7.569758,6.045361,1.417070,0.698207
19,1,10.102083,1.748799,1.638873,0.961504
20,1,9.813554,3.449542,1.527831,0.813317
21,1,9.081834,5.380311,0.698113,0.506893
22,1,6.712746,5.619204,1.010997,0.634009
23,1,8.845817,2.767444,1.625154,0.870775
24,1,8.519820,6.559062,1.049000,0.527637
25,1,8.301783,4.628119,1.577847,0.823499
26,1,8.893469,3.264724,1.650148,0.889933
27,1,4.125549,9.751554,0.596875,0.305607
28,1,6.267313,7.286788,1.323695,0.600876
29,1,6.309311,10.447070,0.791653,0.232079
30,1,7.603435,6.928812,1.279441,0.575759
31,1,6.353609,6.172451,1.362554,0.729703
32,1,7.710017,7.531109,1.373002,0.577051
33,1,8.168584,4.270882,1.221319,0.737436
34,1,8.641038,1.925481,1.660733,0.978941
35,1,8.280565,6.079329,1.112367,0.636880
36,1,7.009268,5.191261,0.824307,0.573541
37,1,8.631498,5.144232,0.998379,0.640475
38,1,7.032695,8.252546,0.938544,0.431889
39,1,6.080451,8.034818,1.220582,0.473777
40,1,8.862373,4.190541,1.178315,0.716513
41,1,6.755446,5.237759,1.427202,0.815459
42,1,9.393566,3.901995,1.290065,0.808133
43,1,6.420464,9.306208,0.707227,0.310340
44,1,9.385177,3.108628,1.219661,0.807219
45,1,7.943117,4.460035,1.664680,0.851126
46,1,8.150716,4.771553,1.699122,0.812361
47,1,9.926020,2.234393,1.579458,0.881108
48,1,7.717596,4.626931,1.465282,0.853594
