Seq,Tss,Col1,Col2,Col3,Col4
1,1,5.482474,9.283982,0.955416,0.308476
2,1,4.672912,9.031266,1.220577,0.516499
3,1,4.801604,8.110244,1.348460,0.555434
4,1,7.603552,6.406280,1.207809,0.601116
5,1,10.481318,2.696776,1.731080,0.897142
6,1,8.186666,6.417813,1.185720,0.607781
7,1,6.029309,7.880125,0.603393,0.311485
8,1,6.523370,7.513044,1.218256,0.488616
9,1,9.826919,3.051363,1.628328,0.878521
10,1,8.655661,3.286387,1.624416,0.931308
11,1,5.004144,9.025095,1.154998,0.461167
12,1,4.869991,9.239613,1.282752,0.493123
13,1,8.443030,3.685836,1.368099,0.819907
14,1,9.102364,3.707251,1.628247,0.872642
15,1,6.894611,7.432763,1.252522,0.549221
16,1,6.615874,5.593989,1.316469,0.642017
17,1,7.618265,4.625575,1.307835,0.689970
18,1,6.893795,9.295247,1.020778,0.412246
19,1,9.185436,2.968363,1.635572,0.882627
20,1,6.695203,7.793450,0.863766,0.427385
21,1,7.653234,7.791009,0.880382,0.406796
22,1,6.400648,6.064848,0.778703,0.559805
23,1,9.106733,2.478955,1.832839,0.936366
24,1,7.744711,8.026755,1.049269,0.449071
25,1,6.491462,10.715317,0.807103,0.238457
26,1,8.841251,3.799616,1.665542,0.827560
27,1,4.639708,11.324048,0.679745,0.227755
28,1,7.376216,7.412937,1.159288,0.539850
29,1,4.983912,10.138332,0.990733,0.366866
30,1,6.226237,8.633378,0.677142,0.325544
31,1,5.832477,6.812483,1.263065,0.642312
32,1,8.841838,3.792523,1.534782,0.819374
33,1,5.221411,8.910898,1.073922,0.438957
34,1,9.262889,2.677266,1.432041,0.849250
35,1,6.138594,6.884093,1.124814,0.640718
36,1,7.976538,4.670452,1.238072,0.733338
37,1,7.274843,5.859239,1.159498,0.640552
38,1,8.139654,5.739666,1.036353,0.640264
39,1,5.472142,8.218389,1.322115,0.505117
40,1,8.635339,4.060086,1.487700,0.801031
41,1,7.194400,5.317944,1.483684,0.813781
42,1,9.450169,4.451892,1.120625,0.733252
43,1,7.754053,5.344414,1.169074,0.703404
44,1,9.402252,2.951664,1.718495,0.960747
45,1,6.367694,6.340736,1.374753,0.657948
46,1,8.204579,4.306033,1.466889,0.770058
47,1,9.867818,2.512042,1.914289,0.968470
48,1,7.939215,4.596660,1.307765,0.805576
49,1,7.159162,7.267827,0.957448,0.456354
50,1,7.098154,5.236644,1.572801,0.781403
51,1,8.378708,4.388019,1.391104,0.731629
52,1,7.870365,5.082764,1.177337,0.660768
53,1,5.880689,7.160089,1.090759,0.543515
54,1,7.019540,6.072572,1.034184,0.570566
55,1,9.069059,3.175661,1.590629,0.867594
56,1,8.488305,5.503557,1.502808,0.747432
57,1,6.454430,9.032688,1.280161,0.453446
58,1,6.065513,7.952429,0.917073,0.398948
59,1,7.210038,6.982328,0.817985,0.484839
60,1,8.002220,5.799236,1.159051,0.611578
61,1,8.634490,3.628932,1.682566,0.851236
62,1,7.482972,4.885509,1.376347,0.718285
63,1,9.782625,3.553522,1.520104,0.843121
64,1,8.245246,5.538508,1.380943,0.696182
65,1,6.926284,7.878934,0.611468,0.315722
66,1,5.374412,6.900631,1.384607,0.729320
67,1,8.279196,5.852744,0.658828,0.465010
68,1,7.806305,5.345865,1.248727,0.719172
69,1,7.128977,5.718805,0.794488,0.545110
70,1,8.139202,4.443322,1.617595,0.876196
71,1,7.649584,5.279891,1.267465,0.772598
72,1,8.911736,3.682851,1.716384,0.832370
73,1,6.925818,5.299616,1.407741,0.747790
74,1,9.027623,3.785609,1.296599,0.876680
75,1,7.084201,4.772752,1.280653,0.818223
76,1,9.009938,2.749568,1.584584,0.940708
77,1,8.654092,3.793836,1.150229,0.765074
78,1,2.728452,10.989978,0.733250,0.188412
79,1,3.878089,11.574776,0.986918,0.237140
80,1,5.183133,8.083909,0.955510,0.473751
81,1,7.422648,5.476490,1.174289,0.618038
82,1,7.180481,6.866194,1.167884,0.648922
83,1,7.352257,7.586199,0.899984,0.499188
84,1,5.216947,8.919833,0.917318,0.394815
85,1,8.306339,5.694459,1.298760,0.658642
86,1,3.763428,11.275450,1.118116,0.333817
87,1,6.798056,8.525507,1.027766,0.408557
88,1,6.771644,6.408745,1.412541,0.615044
89,1,8.612733,6.348921,1.079983,0.491430
90,1,8.397463,5.470815,1.097044,0.641320
91,1,7.262627,6.126555,1.412220,0.675293
92,1,7.012442,5.921522,1.162708,0.541304
93,1,10.049959,2.717245,1.841371,0.935153
94,1,6.847668,4.960911,1.398562,0.777734
95,1,7.554024,4.205256,1.601673,0.850545
96,1,8.773933,4.469798,1.545176,0.741466
97,1,5.643776,6.636632,1.331972,0.643272
98,1,7.429730,8.299567,1.422641,0.549837
99,1,3.465927,9.841878,0.605100,0.320154
100,1,8.324393,4.697657,1.590159,0.810874
101,1,7.869497,6.185362,1.184724,0.620471
102,1,7.641336,5.902920,1.283225,0.656487
103,1,8.217271,4.509705,1.471503,0.746399
104,1,6.557503,9.344040,1.182475,0.394170
105,1,6.906862,5.828931,1.373564,0.689836
106,1,6.728559,5.103529,1.375106,0.736502
107,1,8.528882,4.183106,1.471421,0.765993
108,1,7.655193,7.729892,1.040497,0.471464
109,1,5.361720,8.895139,0.662368,0.313571
110,1,8.186531,4.280091,1.680332,0.774734
111,1,7.182905,5.875319,1.477826,0.720142
112,1,7.026033,6.937738,1.370696,0.619090
113,1,8.428358,5.678772,1.325922,0.647091
114,1,7.065932,5.461309,1.620603,0.795560
115,1,6.321064,5.442411,1.203865,0.712520
116,1,8.713889,5.699323,1.169507,0.578228
117,1,6.734412,7.413933,1.338663,0.577632
118,1,8.045232,4.456771,1.741482,0.831502
119,1,8.058570,3.351259,1.418772,0.859818
120,1,6.507444,6.502452,1.159325,0.597169
121,1,4.440988,8.809998,0.971534,0.381558
122,1,9.315392,3.198402,1.444147,0.838140
123,1,7.363747,5.635377,1.433729,0.693899
124,1,6.076546,5.453787,1.421249,0.749275
125,1,7.422895,6.479513,1.079084,0.528953
126,1,8.554176,5.284775,1.386193,0.653143
127,1,7.966048,4.947587,1.803179,0.878224
128,1,7.099151,5.513901,1.142787,0.653490
129,1,8.722950,4.142411,1.239024,0.790960
130,1,6.391660,6.439853,0.961817,0.520930
131,1,6.934516,5.989769,0.934278,0.585569
132,1,7.951959,5.101115,1.054738,0.567148
133,1,7.331101,6.903712,0.741517,0.459249
134,1,4.473943,8.641382,0.778567,0.349310
135,1,4.816448,7.220613,1.095486,0.502709
136,1,9.560080,3.729092,1.561912,0.748265
137,1,4.989323,10.209018,0.306564,0.103707
138,1,9.626730,2.496013,1.619518,0.913562
139,1,6.235422,8.811793,0.439098,0.253330
140,1,8.367835,4.412347,1.166966,0.727394
141,1,7.808754,7.112662,0.692563,0.476178
142,1,9.145624,5.329314,0.899907,0.534418
143,1,9.191042,2.799859,1.601641,0.891913
144,1,5.914764,8.874496,0.972475,0.388345
145,1,8.115435,5.035659,1.174965,0.666355
146,1,8.090413,4.769736,1.030296,0.666729
147,1,5.074121,10.763569,1.229109,0.420646
148,1,7.077254,6.613730,1.270010,0.630354
149,1,8.300980,3.209741,1.667695,0.899088
150,1,6.074130,7.183190,1.500886,0.675401
151,1,8.137703,5.303507,1.445776,0.770064
152,1,8.152631,4.550844,1.343981,0.748344
153,1,8.472751,4.619543,1.521963,0.770335
154,1,6.928660,5.620261,1.056579,0.571842
155,1,7.916062,5.226189,1.075862,0.587880
156,1,7.404511,4.933240,1.366261,0.713283
157,1,7.227509,6.794831,1.508814,0.723092
158,1,7.061867,7.821147,1.589627,0.633341
159,1,5.850639,6.168121,0.868125,0.518009
160,1,8.883478,3.706848,1.553969,0.889625
161,1,7.356748,4.734353,1.381975,0.760000
162,1,6.546487,5.065767,1.159747,0.793726
163,1,7.172141,6.432499,1.109496,0.608189
164,1,5.963652,6.713341,1.144720,0.598938
165,1,8.927928,3.392686,1.653116,0.898606
166,1,9.104024,4.794617,1.143745,0.691089
167,1,7.200024,5.333465,1.151592,0.638127
168,1,5.984580,7.031859,0.970456,0.465834
169,1,9.016076,4.712253,1.221510,0.583295
170,1,7.374495,6.273527,0.996851,0.554161
171,1,7.292161,6.658989,0.769734,0.471860
172,1,5.369112,10.009642,0.409998,0.224528
173,1,9.698827,3.194305,1.415467,0.844392
174,1,6.750246,6.352145,1.558841,0.697940
175,1,6.731498,7.388432,1.279660,0.614191
176,1,4.212887,11.811852,1.137044,0.256609
177,1,6.550710,6.251559,1.411404,0.670509
178,1,8.557643,4.343983,1.546055,0.794645
179,1,8.867806,2.767663,1.383475,0.862389
180,1,10.067304,3.515923,1.624640,0.877328
181,1,8.371727,3.925948,1.762360,0.850247
182,1,4.923868,9.481232,0.578654,0.292178
183,1,8.800331,4.997297,1.330685,0.724816
184,1,8.089415,3.762006,1.549171,0.900248
185,1,8.617853,5.243272,1.393674,0.683938
186,1,6.983752,6.116733,1.457201,0.698497
187,1,6.369682,9.972751,0.730363,0.257077
188,1,3.852912,9.643795,1.378511,0.599656
189,1,7.262108,5.585146,1.363905,0.705717
190,1,6.572683,8.081225,1.317571,0.560860
191,1,6.831486,6.998105,0.983990,0.485458
192,1,5.654544,6.403003,1.163107,0.566628
193,1,8.081495,3.927428,1.527016,0.803543
194,1,8.656107,3.537328,1.379776,0.834006
195,1,7.010823,6.646920,0.978250,0.484885
196,1,8.831559,2.732670,1.604652,0.862480
197,1,5.271154,9.918177,0.711462,0.330191
198,1,5.455775,9.073496,1.155802,0.384918
199,1,9.076705,3.978248,1.470298,0.802242
200,1,6.967767,5.010493,1.227205,0.658029
201,1,6.245009,8.516706,1.003143,0.412871
202,1,7.405151,4.931238,1.626857,0.814112
203,1,7.849239,5.549198,1.434056,0.740788
204,1,6.920394,5.974451,1.380065,0.716303
205,1,8.813798,3.301166,1.727171,0.941198
206,1,5.727987,7.918709,1.093587,0.485796
207,1,9.202600,4.687655,1.069538,0.659894
208,1,8.874686,5.503341,1.220512,0.672136
209,1,8.987357,3.624593,1.519622,0.837490
210,1,7.209798,7.652137,1.147116,0.490005
211,1,7.367229,6.048181,1.140999,0.598456
212,1,7.049647,6.647697,1.476321,0.700717
213,1,9.440012,3.390130,1.612673,0.835448
214,1,8.222014,3.054145,1.580044,0.891638
215,1,7.817639,5.226614,1.330736,0.733614
216,1,9.015693,3.436420,1.190921,0.790436
217,1,6.285706,7.958221,0.655596,0.364345
218,1,8.553274,3.557708,1.177072,0.789164
219,1,9.306953,2.765880,1.389571,0.877349
220,1,6.499601,7.578821,0.894877,0.462506
221,1,9.952415,1.761850,1.648860,0.961807
222,1,5.381679,7.848281,0.852930,0.392779
223,1,5.951166,9.081183,0.996477,0.385233
224,1,9.141287,4.301638,1.722514,0.813652
225,1,8.742859,4.599850,1.460197,0.681455
226,1,8.737572,3.109481,1.677849,0.898406
227,1,7.324906,6.538864,1.124219,0.608440
228,1,7.407390,6.388382,1.118230,0.629568
229,1,4.158606,9.509187,0.915557,0.385297
230,1,7.866052,4.672497,1.518610,0.801633
231,1,9.166936,2.698175,1.483487,0.915343
232,1,5.449037,8.069524,0.862387,0.465908
233,1,5.046624,9.933584,1.230700,0.387873
234,1,7.005182,7.162651,0.937373,0.486896
235,1,8.435920,4.363656,1.653091,0.860356
236,1,6.654689,5.139939,1.116877,0.574394
237,1,9.576184,3.127504,1.509288,0.871601
