Seq,Tss,Col1,Col2,Col3,Col4
1,1,4.344062,10.232617,0.962361,0.289885
2,1,5.143585,9.473106,1.283071,0.490601
3,1,4.769318,7.970771,1.285320,0.547264
4,1,7.531026,6.968474,1.229903,0.563348
5,1,10.311082,2.666379,1.738659,0.914410
6,1,8.959194,4.525989,1.249727,0.749167
7,1,5.543753,7.905935,0.591728,0.313510
8,1,5.422375,7.814391,1.017035,0.455655
9,1,9.856818,2.349770,1.681307,0.924521
10,1,7.838088,4.420372,1.348488,0.775717
11,1,5.186225,8.075373,1.271440,0.547755
12,1,4.771497,9.413645,1.336984,0.513979
13,1,7.500841,4.650093,1.220474,0.741830
14,1,7.555509,5.149612,1.352483,0.710291
15,1,6.481415,8.134876,1.058139,0.448633
16,1,6.363741,5.486469,1.132137,0.589704
17,1,6.690035,4.949948,1.245226,0.679012
18,1,7.706996,7.174813,1.120438,0.547586
19,1,9.708736,2.337498,1.661513,0.925654
20,1,8.218947,5.871744,1.229322,0.626970
21,1,7.972256,7.025081,0.720823,0.411987
22,1,6.697437,5.730252,0.851683,0.603212
23,1,9.532371,2.116899,1.877116,0.967290
24,1,7.728705,8.713098,0.991128,0.386732
25,1,6.819920,9.015517,1.166895,0.446697
26,1,8.769449,3.871895,1.581272,0.814936
27,1,3.910761,11.670364,0.453317,0.157049
28,1,7.303796,6.898415,1.190653,0.568557
29,1,5.313096,11.301408,0.852725,0.236613
30,1,7.191033,8.452251,0.859458,0.369139
31,1,5.909342,6.962548,1.330124,0.657948
32,1,8.447229,5.262419,1.498866,0.732099
33,1,6.689809,6.796007,1.085201,0.557805
34,1,8.901739,2.220574,1.541931,0.917098
35,1,7.104048,6.802760,1.169160,0.645314
36,1,6.992839,5.206694,0.984288,0.634909
37,1,8.095812,5.416309,1.145902,0.662571
38,1,7.763424,6.558495,0.810161,0.503344
39,1,5.176995,8.779298,1.262076,0.443224
40,1,8.684348,4.156929,1.314989,0.761928
41,1,6.995815,5.272757,1.495039,0.835530
42,1,9.535103,4.365242,1.116646,0.736916
43,1,7.241802,7.145379,0.996800,0.535514
44,1,10.022145,2.341884,1.556903,0.942753
45,1,6.699625,5.705510,1.444836,0.722206
46,1,8.277198,4.565279,1.564564,0.783795
47,1,10.000971,2.260433,1.808759,0.946052
48,1,8.106900,4.430934,1.426462,0.843048
49,1,6.268824,8.570380,0.737165,0.324269
50,1,6.060481,6.465942,1.301488,0.660194
51,1,7.778409,4.797882,1.260798,0.697681
52,1,7.096653,5.162533,1.169943,0.654224
53,1,4.699235,8.419516,0.957239,0.467331
54,1,7.066971,6.148069,1.023414,0.565902
55,1,8.517259,3.221687,1.704354,0.908346
56,1,8.332148,5.252931,1.496122,0.767952
57,1,6.711178,7.836065,1.333983,0.520376
58,1,5.581395,8.276452,0.999687,0.402576
59,1,7.654244,6.384849,0.817497,0.536019
60,1,7.233938,6.759400,1.003702,0.519448
61,1,8.327018,4.376309,1.628548,0.780545
62,1,6.258643,6.075159,1.273648,0.632480
63,1,9.527282,3.627571,1.436232,0.834040
64,1,8.018907,5.139774,1.531547,0.769449
65,1,6.589177,7.857338,0.694726,0.344339
66,1,6.322378,6.185324,1.375219,0.748923
67,1,8.275932,5.696291,0.804480,0.511237
68,1,7.633789,6.103628,1.045012,0.614472
69,1,8.077695,4.678747,1.005453,0.640082
70,1,7.088313,5.690352,1.453286,0.757146
71,1,7.918428,5.433276,1.219478,0.748756
72,1,8.533887,3.782067,1.551426,0.775398
73,1,6.588990,4.982618,1.331768,0.765342
74,1,7.884514,5.593083,1.300983,0.767392
75,1,6.696966,4.965555,1.393412,0.843258
76,1,9.042134,3.032819,1.514518,0.876972
77,1,8.503913,4.216452,0.949853,0.687456
78,1,3.221062,10.786773,0.938143,0.259480
79,1,5.053797,9.574106,0.915566,0.315658
80,1,4.743896,8.624440,0.874122,0.415445
81,1,6.972726,5.102450,1.175670,0.648829
82,1,7.206817,6.754763,1.440663,0.738570
83,1,7.571270,7.220007,0.975148,0.533094
84,1,5.277591,9.193410,0.770143,0.341211
85,1,8.376050,5.154763,1.500007,0.750675
86,1,4.769701,10.517198,1.046401,0.361305
87,1,6.624237,8.313615,0.996286,0.427945
88,1,7.840273,5.648829,1.481135,0.678221
89,1,8.969670,5.686432,1.142250,0.551695
90,1,8.286990,5.487146,1.143197,0.656093
91,1,6.474715,6.878223,1.588424,0.717860
92,1,6.610208,6.803082,1.028587,0.461222
93,1,10.137758,2.458257,1.766019,0.939513
94,1,6.054350,6.092884,1.163741,0.663849
95,1,7.902174,4.073794,1.601356,0.848244
96,1,8.489005,4.532148,1.382519,0.694453
97,1,6.875321,5.950651,1.307188,0.649908
98,1,6.630538,8.829837,1.323496,0.517451
99,1,4.537809,8.397921,0.745002,0.402831
100,1,8.324107,4.599018,1.460570,0.764482
101,1,8.169300,5.845163,1.171444,0.628014
102,1,8.672574,3.967585,1.280798,0.760865
103,1,7.944731,4.529257,1.507035,0.765938
104,1,6.857109,8.786317,1.132431,0.402186
105,1,8.243057,3.856206,1.515636,0.831539
106,1,7.511003,3.630877,1.397693,0.830521
107,1,8.495218,4.018089,1.454771,0.778384
108,1,7.674492,7.284978,1.013074,0.464664
109,1,5.649288,8.975956,0.589655,0.291152
110,1,8.550760,3.824876,1.595935,0.776345
111,1,6.769677,5.771507,1.236584,0.651651
112,1,6.865422,6.423021,1.301731,0.632290
113,1,9.341463,4.118952,1.390714,0.737072
114,1,7.855598,4.153392,1.595011,0.848688
115,1,6.179737,6.059347,1.029397,0.633125
116,1,8.673088,5.289010,1.344793,0.658568
117,1,7.175378,6.811374,1.227976,0.585110
118,1,8.634801,3.589186,1.778682,0.893863
119,1,7.521150,4.139014,1.161827,0.752010
120,1,6.352126,6.577567,1.089655,0.579025
121,1,5.517079,7.848665,1.147769,0.478125
122,1,8.871115,3.949407,1.200890,0.752677
123,1,7.454052,4.823198,1.537019,0.776317
124,1,7.048423,3.991466,1.424960,0.833967
125,1,7.799678,5.533148,1.178833,0.604549
126,1,8.370629,5.214278,1.367403,0.643367
127,1,7.837530,4.760019,1.768694,0.890464
128,1,8.728861,4.162780,1.230898,0.753513
129,1,7.839457,5.273773,1.043990,0.692177
130,1,7.865541,4.575922,1.051078,0.641688
131,1,7.410791,4.665153,0.959546,0.656508
132,1,8.158553,5.127325,1.033516,0.544017
133,1,8.039317,6.179212,0.711482,0.465820
134,1,6.196370,7.171484,1.049797,0.491403
135,1,5.446510,6.491514,1.189931,0.589569
136,1,8.903355,4.035601,1.545397,0.745744
137,1,5.573653,9.319852,0.569635,0.239042
138,1,9.432364,2.799402,1.486022,0.842859
139,1,6.222771,8.220232,0.668426,0.337512
140,1,8.182453,4.291084,1.036075,0.702824
141,1,7.437597,6.704412,0.895228,0.579687
142,1,9.182303,5.187311,0.887171,0.532760
143,1,9.011294,2.507197,1.601199,0.932320
144,1,5.603654,9.210218,0.936317,0.376771
145,1,8.433738,4.741186,1.456977,0.766874
146,1,6.855082,6.290524,1.042950,0.596563
147,1,4.368213,11.910237,1.196181,0.346340
148,1,4.408361,10.021087,0.787498,0.302123
149,1,8.823868,3.214591,1.636573,0.873981
150,1,6.433484,7.739398,1.399868,0.607719
151,1,6.708302,6.168788,1.264597,0.691013
152,1,7.833119,5.216265,1.136448,0.652072
153,1,6.961135,6.434292,1.449966,0.645930
154,1,6.971071,5.124399,1.080727,0.597112
155,1,6.991682,6.964840,1.234057,0.531082
156,1,6.099218,7.944317,1.308533,0.513223
157,1,6.556680,7.736378,1.403314,0.634405
158,1,8.073354,6.257725,1.637478,0.739413
159,1,5.500083,7.184335,0.910030,0.467188
160,1,8.278839,4.217281,1.400627,0.819668
161,1,7.397780,5.012543,1.644209,0.838910
162,1,6.449905,5.979262,0.973624,0.679011
163,1,6.731641,6.334056,1.004235,0.595607
164,1,5.995825,7.586090,1.184791,0.536594
165,1,8.953360,3.787330,1.620523,0.872438
166,1,8.914548,4.427303,1.136687,0.717498
167,1,7.014749,5.347919,1.012157,0.621585
168,1,6.955330,5.626845,0.998682,0.555292
169,1,8.059467,5.513823,1.201582,0.561582
170,1,8.100648,5.359287,1.055865,0.630795
171,1,6.414918,7.634984,0.768988,0.429301
172,1,3.951268,11.655507,0.201154,0.084051
173,1,8.823530,4.761252,1.157742,0.683560
174,1,6.473681,6.085894,1.607528,0.721751
175,1,6.818229,7.168441,1.320944,0.648065
176,1,3.529087,10.974291,1.188172,0.351516
177,1,6.376396,6.408874,1.315467,0.629782
178,1,7.924098,5.490139,1.316602,0.679156
179,1,8.046632,3.366917,1.325544,0.833844
180,1,9.690054,3.963899,1.520337,0.810474
181,1,8.402816,3.530578,1.654532,0.840204
182,1,3.238867,11.232225,0.428546,0.174801
183,1,9.103131,4.376080,1.362112,0.760336
184,1,7.073910,4.931990,1.504151,0.816241
185,1,8.410191,5.302473,1.483544,0.693350
186,1,7.357787,5.522171,1.591484,0.781854
187,1,5.773435,9.676698,0.706731,0.285329
188,1,4.317227,9.124732,1.337121,0.593412
189,1,7.278656,5.441916,1.457531,0.750867
190,1,5.980901,8.962549,1.074370,0.432845
191,1,6.850021,6.503695,0.911585,0.492769
192,1,5.211088,7.388820,1.246713,0.538587
193,1,7.958520,4.027864,1.536980,0.787804
194,1,9.350825,3.238123,1.341963,0.823495
195,1,6.770265,6.705414,1.111959,0.516296
196,1,8.351031,3.556316,1.511343,0.787518
197,1,5.630231,8.619473,0.705055,0.407529
198,1,5.865099,8.871001,1.053387,0.353306
199,1,8.341321,4.882185,1.424153,0.743267
200,1,8.058195,4.088284,1.373008,0.733281
201,1,6.508837,9.195763,0.932171,0.358308
202,1,7.873760,4.859645,1.675869,0.839127
203,1,9.029547,4.134921,1.569662,0.845846
204,1,6.513921,6.386260,1.277027,0.639316
205,1,7.537325,4.642149,1.674272,0.878822
206,1,5.570068,7.970177,1.070713,0.468915
207,1,8.122634,6.295731,0.881150,0.521602
208,1,9.968784,3.956965,1.351059,0.783816
209,1,8.505531,4.440671,1.345236,0.743578
210,1,7.357731,7.089233,1.109224,0.502889
211,1,6.923594,6.119230,1.043270,0.575263
212,1,7.559706,5.159675,1.561873,0.829106
213,1,8.895699,4.735670,1.458046,0.706899
214,1,7.908242,3.854392,1.502992,0.805668
215,1,8.055596,4.834349,1.507033,0.806297
216,1,9.090721,3.018783,1.267837,0.836731
217,1,7.341386,7.000602,0.674186,0.414253
218,1,8.417565,3.098026,1.231016,0.864900
219,1,9.751559,2.638415,1.368865,0.854488
220,1,5.998851,7.625804,0.859950,0.465615
221,1,9.277062,2.693406,1.540200,0.864704
222,1,5.751039,6.756523,0.796006,0.452959
223,1,5.236997,9.293520,0.898875,0.361203
224,1,9.239862,4.491977,1.546289,0.755948
225,1,8.216313,4.595717,1.393442,0.685460
226,1,9.473127,3.143646,1.694662,0.892726
227,1,7.175643,6.786640,1.084857,0.599915
228,1,7.838361,6.088959,1.228437,0.668394
229,1,4.756058,9.477766,0.979336,0.380809
230,1,7.165756,5.527364,1.472468,0.731400
231,1,8.643664,3.506745,1.385902,0.863246
232,1,5.634831,7.308584,0.983777,0.512217
233,1,4.841376,10.002853,1.297374,0.413381
234,1,7.182341,7.169382,1.032647,0.488355
235,1,7.045863,6.511927,1.530032,0.704881
236,1,6.975382,4.787331,1.109743,0.611685
237,1,9.552973,2.896380,1.608800,0.913215
238,1,8.389491,2.560405,1.580956,0.926732
239,1,4.702410,8.837453,0.971622,0.439582
240,1,6.237426,6.631161,1.190808,0.576426
241,1,9.484271,4.246896,1.137214,0.609528
242,1,7.126351,6.414021,1.289819,0.607968
243,1,9.089039,3.306614,1.331353,0.749464
244,1,7.977483,4.286508,1.485667,0.879678
245,1,9.289551,3.219502,1.465179,0.790783
246,1,7.697847,5.693781,1.271365,0.670627
247,1,8.413347,5.295623,0.919750,0.576752
248,1,5.397434,10.040915,1.243184,0.431643
249,1,9.592875,4.495451,1.471794,0.789674
250,1,7.626063,4.791742,1.347323,0.792858
251,1,9.246393,4.380274,1.300046,0.705752
252,1,7.981508,5.636901,1.298450,0.609290
253,1,7.716462,4.852720,1.361574,0.830848
254,1,8.744582,3.539872,1.502875,0.880472
255,1,8.755311,2.673693,1.829330,0.962449
256,1,3.923897,10.839820,0.955583,0.326151
257,1,6.704913,6.960684,1.317740,0.582218
258,1,7.226310,7.444023,1.220778,0.539763
259,1,9.742570,2.760402,1.485648,0.817466
260,1,7.092201,6.537828,1.524044,0.681899
261,1,7.079089,5.878960,1.555056,0.678497
262,1,6.119137,7.441167,0.807511,0.516632
263,1,5.932612,8.022548,1.148564,0.501259
264,1,8.848405,3.401732,1.641770,0.894787
265,1,5.844437,7.633982,1.088312,0.494463
266,1,8.417510,4.237961,1.406316,0.736295
267,1,9.155603,3.751025,1.592407,0.848529
268,1,6.593176,7.696286,0.911116,0.419502
269,1,8.334368,4.921205,1.527778,0.805111
270,1,7.329806,4.726111,0.745430,0.650062
271,1,7.083366,4.857383,1.374465,0.746154
272,1,7.614352,6.592900,1.243238,0.586399
273,1,7.267963,7.220444,1.551335,0.673832
274,1,8.587174,4.532390,1.393477,0.749819
275,1,9.541183,4.953311,1.354833,0.703631
